,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
111,type1_1,10,5,0.0,0.0,0,0.04,mse,0.2,0.6625,0.7625,,,0.0,0.1
112,type1_2,10,5,0.0,0.0,0,0.0,mse,,,,0.025,0.025,0.0,
113,type1_2,10,5,0.0,1.0,0,0.0,mse,,,,0.025,0.025,0.0,
114,type1_2,10,5,0.0,2.0,0,0.0,mse,,,,0.1625,0.025,0.0,
115,type1_2,10,5,0.0,3.0,0,0.0,mse,,,,0.2625,0.025,0.1,
116,type1_2,10,5,0.0,4.0,0,0.0,mse,,,,0.4625,0.025,0.1,
117,type1_2,10,5,0.0,5.0,0,0.0,mse,,,,0.4625,0.025,0.1,
118,type1_2,10,5,0.0,6.0,0,0.0,mse,,,,0.4625,0.025,0.1,
119,power,10,5,0.0,0.0,0,0.0,mse,,,,,0.0,0.025,0.225
120,power,10,5,0.08333333333333333,0.0,0,0.0,mse,,,,,0.2,0.1,0.3
121,power,10,5,0.16666666666666666,0.0,0,0.0,mse,,,,,0.4,0.4,0.4
122,power,10,5,0.25,0.0,0,0.0,mse,,,,,0.8,0.4,0.6
123,power,10,5,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
124,power,10,5,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,1.0
125,power,10,5,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
126,type1_1,10,6,0.0,0.0,0,0.0,mse,0.0,0.0,0.0,,,0.0,0.0
127,type1_1,10,6,0.0,0.0,0,0.006666666666666667,mse,0.3375,0.3375,0.5375,,,0.0,0.0375
128,type1_1,10,6,0.0,0.0,0,0.013333333333333334,mse,0.5375,0.6625,0.6375,,,0.0,0.0375
129,type1_1,10,6,0.0,0.0,0,0.02,mse,0.6625,0.7,0.9,,,0.0,0.0375
130,type1_1,10,6,0.0,0.0,0,0.02666666666666667,mse,0.7625,1.0,1.0,,,0.0,0.0625
131,type1_1,10,6,0.0,0.0,0,0.03333333333333333,mse,0.9,1.0,1.0,,,0.0,0.0625
132,type1_1,10,6,0.0,0.0,0,0.04,mse,0.9,1.0,1.0,,,0.0,0.0625
133,type1_2,10,6,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
134,type1_2,10,6,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
135,type1_2,10,6,0.0,2.0,0,0.0,mse,,,,0.1,0.0,0.0,
136,type1_2,10,6,0.0,3.0,0,0.0,mse,,,,0.4,0.0,0.1,
137,type1_2,10,6,0.0,4.0,0,0.0,mse,,,,0.5,0.0,0.1,
138,type1_2,10,6,0.0,5.0,0,0.0,mse,,,,0.5,0.0,0.1,
139,type1_2,10,6,0.0,6.0,0,0.0,mse,,,,0.5,0.0,0.1,
140,power,10,6,0.0,0.0,0,0.0,mse,,,,,0.1,0.0,0.1
141,power,10,6,0.08333333333333333,0.0,0,0.0,mse,,,,,0.3,0.1625,0.2625
142,power,10,6,0.16666666666666666,0.0,0,0.0,mse,,,,,0.5,0.4,0.5
143,power,10,6,0.25,0.0,0,0.0,mse,,,,,0.6,0.4,0.6
144,power,10,6,0.3333333333333333,0.0,0,0.0,mse,,,,,1.0,0.5,0.9
145,power,10,6,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,0.9
146,power,10,6,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
147,type1_1,10,7,0.0,0.0,0,0.0,mse,0.0,0.0,0.2,,,0.0,0.2
148,type1_1,10,7,0.0,0.0,0,0.006666666666666667,mse,0.0,0.1,0.1,,,0.0,0.1
149,type1_1,10,7,0.0,0.0,0,0.013333333333333334,mse,0.1,0.2,0.2,,,0.0,0.1
150,type1_1,10,7,0.0,0.0,0,0.02,mse,0.2,0.325,0.325,,,0.0,0.2
151,type1_1,10,7,0.0,0.0,0,0.02666666666666667,mse,0.325,0.425,0.425,,,0.0,0.1
152,type1_1,10,7,0.0,0.0,0,0.03333333333333333,mse,0.325,0.5625,0.6625,,,0.0,0.1
153,type1_1,10,7,0.0,0.0,0,0.04,mse,0.425,0.9,0.9625,,,0.0,0.1
154,type1_2,10,7,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
155,type1_2,10,7,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
156,type1_2,10,7,0.0,2.0,0,0.0,mse,,,,0.2,0.0,0.0,
157,type1_2,10,7,0.0,3.0,0,0.0,mse,,,,0.4,0.0,0.1,
158,type1_2,10,7,0.0,4.0,0,0.0,mse,,,,0.4,0.0,0.1,
159,type1_2,10,7,0.0,5.0,0,0.0,mse,,,,0.4,0.0,0.1,
160,type1_2,10,7,0.0,6.0,0,0.0,mse,,,,0.4,0.0,0.1,
161,power,10,7,0.0,0.0,0,0.0,mse,,,,,0.1,0.0,0.0
162,power,10,7,0.08333333333333333,0.0,0,0.0,mse,,,,,0.225,0.0625,0.2
163,power,10,7,0.16666666666666666,0.0,0,0.0,mse,,,,,0.5625,0.4,0.5
164,power,10,7,0.25,0.0,0,0.0,mse,,,,,0.8,0.4,0.7
165,power,10,7,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.8
166,power,10,7,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,1.0
167,power,10,7,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
168,type1_1,10,8,0.0,0.0,0,0.0,mse,0.0,0.1,0.0,,,0.0,0.0
169,type1_1,10,8,0.0,0.0,0,0.006666666666666667,mse,0.0,0.2,0.0,,,0.0,0.0
170,type1_1,10,8,0.0,0.0,0,0.013333333333333334,mse,0.2375,0.4375,0.3375,,,0.0,0.0
171,type1_1,10,8,0.0,0.0,0,0.02,mse,0.4375,0.5625,0.5625,,,0.0,0.0
172,type1_1,10,8,0.0,0.0,0,0.02666666666666667,mse,0.5375,1.0,0.9625,,,0.0,0.025
173,type1_1,10,8,0.0,0.0,0,0.03333333333333333,mse,0.5625,1.0,1.0,,,0.0,0.025
174,type1_1,10,8,0.0,0.0,0,0.04,mse,0.7625,1.0,1.0,,,0.0,0.0625
175,type1_2,10,8,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
176,type1_2,10,8,0.0,1.0,0,0.0,mse,,,,0.1,0.0,0.0,
177,type1_2,10,8,0.0,2.0,0,0.0,mse,,,,0.3,0.0,0.0,
178,type1_2,10,8,0.0,3.0,0,0.0,mse,,,,0.4375,0.0,0.1,
179,type1_2,10,8,0.0,4.0,0,0.0,mse,,,,0.4375,0.0,0.1,
180,type1_2,10,8,0.0,5.0,0,0.0,mse,,,,0.5375,0.0,0.1,
181,type1_2,10,8,0.0,6.0,0,0.0,mse,,,,0.5375,0.0,0.1,
182,power,10,8,0.0,0.0,0,0.0,mse,,,,,0.1,0.025,0.025
183,power,10,8,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1375,0.1,0.3
184,power,10,8,0.16666666666666666,0.0,0,0.0,mse,,,,,0.6,0.4,0.4
185,power,10,8,0.25,0.0,0,0.0,mse,,,,,0.6,0.4,0.6
186,power,10,8,0.3333333333333333,0.0,0,0.0,mse,,,,,0.8,0.5,0.9
187,power,10,8,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,0.9
188,power,10,8,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
189,type1_1,10,9,0.0,0.0,0,0.0,mse,0.1,0.0375,0.0,,,0.0,0.1
190,type1_1,10,9,0.0,0.0,0,0.006666666666666667,mse,0.0,0.0375,0.0,,,0.0,0.0
191,type1_1,10,9,0.0,0.0,0,0.013333333333333334,mse,0.0,0.1375,0.0,,,0.0,0.0
192,type1_1,10,9,0.0,0.0,0,0.02,mse,0.0,0.1625,0.1,,,0.0,0.0
193,type1_1,10,9,0.0,0.0,0,0.02666666666666667,mse,0.1,0.3625,0.275,,,0.0,0.0
194,type1_1,10,9,0.0,0.0,0,0.03333333333333333,mse,0.175,0.6,0.475,,,0.0,0.0
195,type1_1,10,9,0.0,0.0,0,0.04,mse,0.175,0.6,0.6,,,0.0,0.0
196,type1_2,10,9,0.0,0.0,0,0.0,mse,,,,0.025,0.025,0.0,
197,type1_2,10,9,0.0,1.0,0,0.0,mse,,,,0.025,0.025,0.0,
198,type1_2,10,9,0.0,2.0,0,0.0,mse,,,,0.225,0.025,0.0,
199,type1_2,10,9,0.0,3.0,0,0.0,mse,,,,0.325,0.025,0.0,
200,type1_2,10,9,0.0,4.0,0,0.0,mse,,,,0.325,0.025,0.0,
201,type1_2,10,9,0.0,5.0,0,0.0,mse,,,,0.325,0.025,0.0,
202,type1_2,10,9,0.0,6.0,0,0.0,mse,,,,0.325,0.025,0.0,
203,power,10,9,0.0,0.0,0,0.0,mse,,,,,0.0,0.025,0.0
204,power,10,9,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1375,0.2,0.2
205,power,10,9,0.16666666666666666,0.0,0,0.0,mse,,,,,0.5,0.4,0.5
206,power,10,9,0.25,0.0,0,0.0,mse,,,,,0.8,0.4,0.8
207,power,10,9,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
208,power,10,9,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.8,0.9
209,power,10,9,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
210,type1_1,10,10,0.0,0.0,0,0.0,mse,0.0,0.0,0.0,,,0.0,0.0
211,type1_1,10,10,0.0,0.0,0,0.006666666666666667,mse,0.075,0.175,0.275,,,0.0,0.0
212,type1_1,10,10,0.0,0.0,0,0.013333333333333334,mse,0.275,0.775,0.9,,,0.0,0.1
213,type1_1,10,10,0.0,0.0,0,0.02,mse,0.675,1.0,1.0,,,0.0,0.1
214,type1_1,10,10,0.0,0.0,0,0.02666666666666667,mse,1.0,1.0,1.0,,,0.0,0.0375
215,type1_1,10,10,0.0,0.0,0,0.03333333333333333,mse,1.0,1.0,1.0,,,0.0,0.0375
216,type1_1,10,10,0.0,0.0,0,0.04,mse,1.0,1.0,1.0,,,0.0,0.0375
217,type1_2,10,10,0.0,0.0,0,0.0,mse,,,,0.025,0.025,0.0,
218,type1_2,10,10,0.0,1.0,0,0.0,mse,,,,0.125,0.025,0.0,
219,type1_2,10,10,0.0,2.0,0,0.0,mse,,,,0.1625,0.025,0.0,
220,type1_2,10,10,0.0,3.0,0,0.0,mse,,,,0.2625,0.025,0.0,
221,type1_2,10,10,0.0,4.0,0,0.0,mse,,,,0.2625,0.025,0.0,
222,type1_2,10,10,0.0,5.0,0,0.0,mse,,,,0.2625,0.025,0.0,
223,type1_2,10,10,0.0,6.0,0,0.0,mse,,,,0.2625,0.025,0.0,
224,power,10,10,0.0,0.0,0,0.0,mse,,,,,0.1,0.0,0.0
225,power,10,10,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1,0.2,0.3
226,power,10,10,0.16666666666666666,0.0,0,0.0,mse,,,,,0.4,0.4,0.6
227,power,10,10,0.25,0.0,0,0.0,mse,,,,,0.8,0.4,0.8
228,power,10,10,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
229,power,10,10,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,1.0
230,power,10,10,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
231,type1_1,10,11,0.0,0.0,0,0.0,mse,0.0,0.0,0.1375,,,0.0,0.0
