,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
125,power,30,0,0.0,0,3,0,0.0,mse,0.0583333333333333,0.10625,0.0895833333333333,0.0979166666666666,0.0958333333333333,0.1145833333333333,0.1083333333333333,0.0005700632929801,0.0883279552062352,0.0004305322964986,0.0158444792032241,0.5430181682109833,0.0004114165902137,0.6674232189853986
126,power,30,0,0.1,0,3,0,0.0,mse,1.0,1.0,1.0,0.6770833333333334,0.625,0.4416666666666666,0.7291666666666666,0.0008565306663513,0.106234273314476,0.0004869724313418,0.0194435651103655,0.6151042665044467,0.0004356374343236,0.7407827824354172
127,power,30,0,0.2,0,3,0,0.0,mse,1.0,1.0,1.0,0.9895833333333334,0.9708333333333332,0.81875,0.9916666666666668,0.0006350487470626,0.0905357882380485,0.0004703491926193,0.0161331211527188,0.5486393297712008,0.0004043102264404,0.6658130993445714
128,power,30,0,0.3,0,3,0,0.0,mse,1.0,1.0,1.0,1.0,1.0,0.9770833333333332,1.0,0.0005291546384493,0.0823688139518102,0.0004022742311159,0.014807774623235,0.5196719626585643,0.0003910596172014,0.6448747446139653
129,power,30,0,0.4,0,3,0,0.0,mse,1.0,1.0,1.0,1.0,1.0,0.9979166666666668,1.0,0.000545231004556,0.0846726606289545,0.000403906404972,0.015200821061929,0.5288007020950317,0.000388819972674,0.6754807074864705
130,type1_sim,40,0,0.0,0,0,0,0.0,mse,,,,0.09375,0.0958333333333333,0.0895833333333333,,,,,0.0177310576041539,0.5990360140800476,0.0004436239600181,
131,type1_sim,40,0,0.0,0,0,0,0.005,mse,,,,0.1125,0.0916666666666666,0.1,,,,,0.0187196001410484,0.6098083401719729,0.0004717503984769,
132,type1_sim,40,0,0.0,0,0,0,0.01,mse,,,,0.1145833333333333,0.1083333333333333,0.0916666666666666,,,,,0.0182639176646868,0.6067989910642306,0.0004389266173044,
133,type1_sim,40,0,0.0,0,0,0,0.015,mse,,,,0.1104166666666666,0.0979166666666666,0.0854166666666666,,,,,0.0170274297396341,0.6067121704419454,0.0004760866363843,
134,type1_sim,40,0,0.0,0,0,0,0.02,mse,,,,0.1020833333333333,0.1041666666666666,0.0791666666666666,,,,,0.0192458848158518,0.6158189927538236,0.0004589855670928,
135,type1_sim,40,0,0.0,1,0,0,0.0,mse,,,,0.19375,0.1083333333333333,0.0979166666666666,,,,,0.019691260655721,0.6301645477612813,0.0005051508545875,
136,type1_sim,40,0,0.0,1,0,0,0.005,mse,,,,0.20625,0.1104166666666666,0.1083333333333333,,,,,0.0185653423269589,0.616398190955321,0.0004631588856379,
137,type1_sim,40,0,0.0,1,0,0,0.01,mse,,,,0.2020833333333333,0.1,0.1083333333333333,,,,,0.0194771240154902,0.6308550839622815,0.0005283708373705,
138,type1_sim,40,0,0.0,1,0,0,0.015,mse,,,,0.1958333333333333,0.1020833333333333,0.1104166666666666,,,,,0.0193615560730298,0.6316467026869456,0.0004805862903594,
139,type1_sim,40,0,0.0,1,0,0,0.02,mse,,,,0.1979166666666666,0.09375,0.1083333333333333,,,,,0.0188087890545527,0.6199894726276398,0.0004463821649551,
140,type1_sim,40,0,0.0,2,0,0,0.0,mse,,,,0.2916666666666667,0.1104166666666666,0.125,,,,,0.0172982330123583,0.5839949543277423,0.0004075020551681,
141,type1_sim,40,0,0.0,2,0,0,0.005,mse,,,,0.30625,0.0958333333333333,0.1354166666666666,,,,,0.0164777944485346,0.572526216506958,0.0004271179437637,
142,type1_sim,40,0,0.0,2,0,0,0.01,mse,,,,0.3166666666666666,0.0895833333333333,0.14375,,,,,0.0163761908809343,0.568724146982034,0.0004149908820788,
143,type1_sim,40,0,0.0,2,0,0,0.015,mse,,,,0.33125,0.10625,0.1541666666666666,,,,,0.0172466362516085,0.5626187115907669,0.0004054854313532,
144,type1_sim,40,0,0.0,2,0,0,0.02,mse,,,,0.35625,0.1083333333333333,0.1708333333333333,,,,,0.0164372131228446,0.5626172627011935,0.0004273126522699,
